,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
7787,bpEiVcivZFHixcDGKXQQJA,Valerio Coffee Roasters,4373 Main St,Philadelphia,PA,19127,40.0252890632,-75.2227872271,4.0,34,1,"{'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'"", 'HasTV': 'False', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True', 'Alcohol': ""u'none'"", 'HappyHour': 'True', 'RestaurantsTableService': 'False', 'BYOB': 'False', 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True'}","Coffee & Tea, Bagels, Food, Breakfast & Brunch, Restaurants","{'Tuesday': '8:0-14:30', 'Wednesday': '8:0-14:30', 'Thursday': '8:0-14:30', 'Friday': '8:0-14:30', 'Saturday': '8:0-16:0', 'Sunday': '8:0-16:0'}"
8308,NeY1bH6IKJxnn4YAixibsQ,Cosi,140 S 36th St,Philadelphia,PA,19104,39.9536708974,-75.1949572908,2.5,115,0,"{'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'False', 'WiFi': ""u'free'"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'HasTV': 'False', 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsPriceRange2': '1', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}""}","Coffee & Tea, Restaurants, Sandwiches, Food","{'Monday': '0:0-0:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}"
8433,hJnW5-ovJQkecq0EZhHaKw,DoDo Bakery,2653 S 11th St,Philadelphia,PA,19148,39.9163107,-75.1659042976,4.5,12,1,"{'RestaurantsPriceRange2': '1', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': False, u'validated': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","Coffee & Tea, Bubble Tea, Custom Cakes, Bakeries, Food","{'Monday': '0:0-0:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-18:0', 'Saturday': '7:30-18:0', 'Sunday': '7:30-18:0'}"
9323,K9gaM9XdGqGWsQMdjpxFIQ,7-Eleven,226 W Rittenhouse Square,Philadelphia,PA,19103,39.9492424097,-75.1739857577,3.5,15,1,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'True'}","Coffee & Tea, Food, Convenience Stores","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
10710,99zoELPcbwRBUqiPoaPqiQ,Bold Coffee Bar,1623 Ridge Ave,Philadelphia,PA,19130,39.9699772,-75.1639247,5.0,28,1,"{'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'False', 'Caters': 'False', 'RestaurantsTableService': 'False', 'BYOB': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'DogsAllowed': 'True', 'Alcohol': ""u'none'"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'False', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'False'}","Coffee & Tea, Food, Cafes, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '8:0-12:0', 'Saturday': '8:0-15:0'}"
10937,mBcvp7NarEQEviJyRiX23Q,Starbucks,57-63 North Third St,Philadelphia,PA,19106,39.952062,-75.1451409228,3.5,63,1,"{'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'""}","Coffee & Tea, Food","{'Monday': '0:0-0:0', 'Tuesday': '5:0-20:0', 'Wednesday': '5:0-20:0', 'Thursday': '5:0-20:0', 'Friday': '5:0-20:0', 'Saturday': '5:0-20:0', 'Sunday': '5:0-20:0'}"
11847,MnaUUSxuaM8aKKhhjxLXWA,Mango Mango Dessert,6830 Bustleton Ave,Philadelphia,PA,19149,40.0413892,-75.0650277,4.5,18,1,"{'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'False', 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': None}"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","Coffee & Tea, Ice Cream & Frozen Yogurt, Desserts, Juice Bars & Smoothies, Food","{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}"
14577,paO0ETshl56TNSaEyzm9Cw,Brodo,31 S 18th St,Philadelphia,PA,19103,39.9521366,-75.170218,3.0,33,0,"{'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsPriceRange2': '2', 'GoodForKids': 'False', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'RestaurantsGoodForGroups': 'True'}","Coffee & Tea, Restaurants, Sandwiches, Food, Soup",
15033,TCROPjxfzCZzrQjqLqstSg,Red Cup Cafe & Hookah Lounge,400 Fairmount Ave,Philadelphia,PA,19123,39.9625769974,-75.1447479799,4.0,53,0,"{'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'False', 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Music': ""{'dj': True}"", 'GoodForDancing': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTableService': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsReservations': 'False', 'HappyHour': 'False', 'CoatCheck': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}","Coffee & Tea, Hookah Bars, Nightlife, Bars, Food, Restaurants, Cafes","{'Thursday': '19:0-2:0', 'Friday': '19:0-2:0', 'Saturday': '19:0-2:0'}"
15934,48hwr-F1xEFfHdTD1ueE2A,Starbucks,337-341 South Broad St,Philadelphia,PA,19107,39.945624,-75.16484,3.5,29,0,"{'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'Caters': 'False', 'GoodForKids': 'False', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""'free'""}","Coffee & Tea, Food","{'Monday': '0:0-0:0', 'Tuesday': '5:30-20:0', 'Wednesday': '5:30-20:0', 'Thursday': '5:30-20:0', 'Friday': '5:30-20:30', 'Saturday': '6:30-20:30', 'Sunday': '6:30-19:30'}"
16384,f4XSOzFOQDydPyqavMV7cA,Peet's Coffee & Tea,8000 Essington Ave,Philadelphia,PA,19153,39.8780267127,-75.2394030397,3.5,26,1,"{'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'valet': False, 'garage': False, 'street': False, 'lot': False, 'validated': False}"", 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'WiFi': ""'free'"", 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True'}","Coffee & Tea, Cafes, Restaurants, Food",
17197,X3Qa-dXb2DFdZZ2UnAfSVg,Dunkin',"1619 Grant Ave, Ste 5",Philadelphia,PA,19115,40.087335,-75.039989,1.0,5,1,"{'RestaurantsPriceRange2': '1', 'BikeParking': 'False', 'BusinessParking': 'None', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'WiFi': ""'free'"", 'RestaurantsDelivery': 'True', 'DriveThru': 'None'}","Coffee & Tea, Donuts, Food, Restaurants","{'Monday': '5:0-18:0', 'Tuesday': '5:0-18:0', 'Wednesday': '5:0-18:0', 'Thursday': '5:0-18:0', 'Friday': '5:0-18:0', 'Saturday': '5:0-18:0', 'Sunday': '6:0-17:0'}"
18085,k6WAVICs1yY07JPXLYCj_w,OCF Coffee House,301 Market St,Philadelphia,PA,19106,39.950333,-75.1457136,3.5,50,0,"{'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'DogsAllowed': 'False', 'RestaurantsPriceRange2': '2', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'free'"", 'WheelchairAccessible': 'False', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True'}","Coffee & Tea, Bagels, Food","{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '7:0-19:0', 'Sunday': '7:0-19:0'}"
18241,64tYqfgsfgCkgtXV_9uu-w,Saxbys ,1902 Liacouras Walk,Philadelphia,PA,19122,39.9817208259,-75.1560784911,3.5,45,1,"{'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Coffee & Tea, Juice Bars & Smoothies, Food","{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '8:0-16:0', 'Sunday': '8:0-16:0'}"
22673,WfjsGrbSIswLMwGtKVNcwQ,Dunkin',917 W Girard Ave,Philadelphia,PA,19123,39.9709467,-75.1521439,3.5,17,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'True', 'DriveThru': 'None'}","Coffee & Tea, Food, Donuts","{'Monday': '4:30-22:0', 'Tuesday': '4:30-22:0', 'Wednesday': '4:30-22:0', 'Thursday': '4:30-22:0', 'Friday': '4:30-22:0', 'Saturday': '4:30-22:0', 'Sunday': '4:30-22:0'}"
25417,5yvs585-TDqiIJ39jHt8qQ,Krispy Kreme,41 S 16th St,Philadelphia,PA,19102,39.9515595152,-75.1670362028,4.0,19,0,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False'}","Coffee & Tea, Food, Donuts","{'Monday': '6:30-21:0', 'Tuesday': '6:30-21:0', 'Wednesday': '6:30-21:0', 'Thursday': '6:30-21:0', 'Friday': '6:30-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-20:0'}"
25504,Q9poenJ9SS3agpPo4Pgyyg,Ray's Café & Teahouse,141 N 9th St,Philadelphia,PA,19107,39.9546207,-75.1542759,4.5,181,1,"{'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsPriceRange2': '2', 'HasTV': 'False', 'OutdoorSeating': 'False', 'Caters': 'False', 'BikeParking': 'True', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'HappyHour': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}""}","Coffee & Tea, Chinese, Restaurants, Food","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '11:30-17:0'}"
26585,Z8qGOmU8YxDjLPBbrz84Yw,Capogiro Gelato,117 S 20th St,Philadelphia,PA,19103,39.9513756,-75.1735322,4.5,525,0,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'Caters': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'True', 'WiFi': ""u'free'""}","Coffee & Tea, Gelato, Ice Cream & Frozen Yogurt, Food","{'Monday': '7:30-22:0', 'Tuesday': '7:30-22:0', 'Wednesday': '7:30-22:0', 'Thursday': '7:30-22:0', 'Friday': '7:30-0:0', 'Saturday': '8:0-0:0', 'Sunday': '10:0-22:0'}"
27474,5Y7cqSgUSfLwn7ulBeO_sA,Bluestone Lane - Philadelphia,1 S Penn Sq,Philadelphia,PA,19107,39.9513885876,-75.1631133975,4.0,88,1,"{'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': None, u'lot': False, u'validated': None}""}","Coffee & Tea, Breakfast & Brunch, Restaurants, Gluten-Free, Cafes, Food","{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-13:0'}"
